"x"
"1"	1664.81
"2"	2397.53
"3"	2840.71
"4"	3547.29
"5"	3752.96
"6"	3714.74
"7"	4349.61
"8"	3566.34
"9"	5021.82
"10"	6423.48
"11"	7600.6
"12"	19756.21
"13"	2499.81
"14"	5198.24
"15"	7225.14
"16"	4806.03
"17"	5900.88
"18"	4951.34
"19"	6179.12
"20"	4752.15
"21"	5496.43
"22"	5835.1
"23"	12600.08
"24"	28541.72
"25"	4717.02
"26"	5702.63
"27"	9957.58
"28"	5304.78
"29"	6492.43
"30"	6630.8
"31"	7349.62
"32"	8176.62
"33"	8573.17
"34"	9690.5
"35"	15151.84
"36"	34061.01
"37"	5921.1
"38"	5814.58
"39"	12421.25
"40"	6369.77
"41"	7609.12
"42"	7224.75
"43"	8121.22
"44"	7979.25
"45"	8093.06
"46"	8476.7
"47"	17914.66
"48"	30114.41
"49"	4826.64
"50"	6470.23
"51"	9638.77
"52"	8821.17
"53"	8722.37
"54"	10209.48
"55"	11276.55
"56"	12552.22
"57"	11637.39
"58"	13606.89
"59"	21822.11
"60"	45060.69
"61"	7615.03
"62"	9849.69
"63"	14558.4
"64"	11587.33
"65"	9332.56
"66"	13082.09
"67"	16732.78
"68"	19888.61
"69"	23933.38
"70"	25391.35
"71"	36024.8
"72"	80721.71
"73"	10243.24
"74"	11266.88
"75"	21826.84
"76"	17357.33
"77"	15997.79
"78"	18601.53
"79"	26155.15
"80"	28586.52
"81"	30505.41
"82"	30821.33
"83"	46634.38
"84"	104660.67
